Table A - DAMAGE_TYPE_INT,Table B - Slayer/Creature Type,TABLE M - ALL SKILLS,Table U - TOLERANCE_INT,Table W - DEFAULT_COMBAT_STYLE_INT,Table AD - TRANSFER_FROM/TO_ATTRIBUTE_INT,Table AR - Death Treasure (Uniques),Table AN - RESISTANCE_MODIFIER_TYPE_INT,Table AM - HOOK_TYPE_INT,Table AI - ICON_UNDERLAY_DID,Table AC - HERITAGE_GROUP_INT,Table Z - BOOSTER_ENUM_INT,Table E - WEAPON_TYPE_INT,Table I - IMBUED_EFFECT_INT,Table  J - WIELD_REQUIREMENTS_INT,Table K - Attributes,Table K - Attributes,Table L - Vitals,Table O - Armor Type,Table P - AMMO_TYPE_INT,Table C - ACTIVATION_RESPONSE_INT,Table AF: MATERIAL_TYPE_INT,Table AA - RADARBLIP_COLOR_INT,Table Y - LOCKPICK_MOD_INT,Table G - COMBAT_USE_INT,Table H - UI_EFFECTS_INT,Table F - ATTACK_TYPE_INT,TABLE AQ - FRIEND_TYPE_INT,Table AL - PLAYER_KILLER_STATUS_INT,Table AK - COMBAT_MODE_INT,Table N - ITEM_TYPE_INT,Table T - BONDED_INT,Table AB - PORTAL_BITMASK_INT,Table AG - SHOWABLE_ON_RADAR_INT,Table AH - SKILL_ADVANCEMENT_CLASS,Table AJ - CURRENT_ATTACK_HEIGHT_INT,Table AP - HOOK_GROUP_INT,Table V  - TARGETING_TACTIC_INT,Table Q - ITEM_USEABLE_INT,Table S - LOCATIONS_INT,Table R - CLOTHING_PRIORITY_INT,,Table AO - CHARACTER_TITLE_ID_INT,,Table AE - EQUIPMENT_SET_ID_INT,PALETTE_ENTRY_INT Lookup Table,,,,All hex enums are converted to decimal (Weenie type),,,,
0 - UNDEF_DAMAGE_TYPE,1 - Olthoi,1-AXE,0 - Undefined,0 - Undef_CombatStyle,1 - Strength,1000 - base Tier 7,0 - Undefined,0 - Undef_HookTypeEnum,0 - UNDEF,1 - Aluvian,2 - Health,0 - Undef_WeaponType,-2147483648 - IgnoreAllArmor_ImbuedEffectType,1 - Skill,1 - Strength,1 - Strength,1 - Max Health,1 - Light Cloth,0 - AMMO_NONE,2 - ???,1 - Ceramic,0 - Default,-10 - Crude/Flimsy Lockpick,0 - COMBAT_USE_NONE,0 - UI_EFFECT_UNDEF,1 - Punch_AttackType,1  Virindi Collector,0 - Undef_PKStatus,0 - UNDEF_COMBAT_MODE,-2147483648 - TYPE_GAMEBOARD,-2 - Destroy_BondedStatus ,0 - Undefined (WERROR_PORTAL_PLAYERS_NOT_ALLOWED),1 - ShowNever_RadarEnum,0 - UNDEF_SKILL_ADVANCEMENT_CLASS,0 - UNDEF_ATTACK_HEIGHT,"1 - Horn of Vigilance, Coffin, Doorbell, Font of Jojii, Pyreal Bell",1 - Random,-65535 - USEABLE_TARGET_MASK,0 - NONE_LOC,0 - Undefined,0,ID_CharacterTitle_Invalid,Unknown,0 - Invalid,Value:,Name:,,,1,Generic,"Landscape objects, interactable objects, generators, quest items (catchall for nonspecific weenietypes)",,
1 - SLASH_DAMAGE_TYPE,2 - Banderling,2-BOW,"1 - Stationary (attackable doors, etc)",1 - Unarmed_CombatStyle,2 - Endurance,1001 - MFK Advanced Equipment Chest,1 - Slashing,1 - Floor_HookTypeEnum,100667851 - MeleeWeapon,2 - Gharun'dim,4 - Stamina,1 - Unarmed_WeaponType,1 - CriticalStrike_ImbuedEffectType,2 - Base Skill,2 - Endurance,2 - Endurance,2 - Health,2 - Heavy Cloth,1 - AMMO_ARROW,4 - Advocate/Sentinel Statue,2 - Porcelain,1 - Blue (Lifestone),0 - Limitless/Plain/Reliable Lockpick,1 - COMBAT_USE_MELEE,1 - UI_EFFECT_MAGICAL,2 - Thrust_AttackType,2  Niffis Fighter/The Guardian Spirit,1 - Protected_PKStatus,1 - NONCOMBAT_COMBAT_MODE,0 - TYPE_UNDEF,-1 - Slippery_BondedStatus,1 - No Restrictions?,2 - ShowMovement_RadarEnum,1 - UNTRAINED_SKILL_ADVANCEMENT_CLASS,1 - HIGH_ATTACK_HEIGHT,2 - EmoteTestHooker,2 - Focused,0 - USEABLE_UNDEF,1 - HEAD_WEAR_LOC (Head),1 - ???,1,ID_CharacterTitle_Adventurer,Adventurer,1 - Test,0,No Color,UNDEF_PALETTE_TEMPLATE,,2,Clothing,armor,,
2 - PIERCE_DAMAGE_TYPE,3 - Drudge,3-CROSSBOW,"2 - Attack on ident (White Rabbit, Scarecrows)",2 - OneHanded_CombatStyle,3 - Quickness,1002 - MFK Armor Chest,2 - Piercing,2 - Wall_HookTypeEnum,100667855 - Armor,3 - Sho,6 - Mana,2 - Sword_WeaponType,2 - CripplingBlow_ImbuedEffectType,3 - Attribute,3 - Quickness,3 - Quickness,3 - Max Stamina,4 - Light Leather,2 - AMMO_BOLT,16 - ???,3 - Cloth,2 - Gold (Creature),5 - Good Lockpick,2 - COMBAT_USE_MISSILE,2 - UI_EFFECT_POISONED,4 - Slash_AttackType,"5  Dire/Dread/Tundra Mattekar, Dire Mattie",1 - NPC_PKStatus,2 - MELEE_COMBAT_MODE,0 - TYPE_SELF,0 - Normal_BondedStatus,2 - No PK,3 - ShowAttacking_RadarEnum,2 - TRAINED_SKILL_ADVANCEMENT_CLASS,2 - MEDIUM_ATTACK_HEIGHT,4 - Portal Devices,4 - LastDamager,"1 - USEABLE_NO (Unusable Items, weapons, armor, clothing, etc)",2 - CHEST_WEAR_LOC (Chest (Underwear)),2 - Upper Legs (Underwear),2,ID_CharacterTitle_Archer,Archer,2 - Test2,1,Loot Gen Deep Reef Aqua,AQUABLUE_PALETTE_TEMPLATE,,3,MissileLauncher,"missile weapons (bows, crossbows, atlatls)",,
4 - BLUDGEON_DAMAGE_TYPE,4 - Mosswart,4-DAGGER,40 - Never Attack (only Lich Archmage),4 - OneHandedAndShield_CombatStyle,4 - Coordination,1003 - MFK Magic Chest,4 - Bludgeoning,4 - Ceiling_HookTypeEnum,100667891 - Clothing,4 - Viamontian,,3 - Axe_WeaponType,4 - ArmorRending_ImbuedEffectType,4 - Base Attribute,4 - Coordination,4 - Coordination,4 - Stamina,8 - Heavy Leather,4 - AMMO_ATLATL,2048 - ???,4 - Linen,3 - White (Player),10 - Excellent/Superb Lockpick,3 - COMBAT_USE_AMMO,4 - UI_EFFECT_BOOST_HEALTH,8 - Kick_AttackType,"6  Drudges, Tumeroks, Lugians",2 - NPK_PKStatus,4 - MISSILE_COMBAT_MODE,1 - TYPE_MELEE_WEAPON,1 - Bonded_BondedStatus,4 - No PKL,4 - ShowAlways_RadarEnum,3 - SPECIALIZED_SKILL_ADVANCEMENT_CLASS ,3 - LOW_ATTACK_HEIGHT,8 - Chalk Board,8 - TopDamager,2 - USEABLE_SELF,4 - ABDOMEN_WEAR_LOC (Abdomen (Underwear)),4 - Lower Legs (Underwear),3,ID_CharacterTitle_Blademaster,Blademaster,3 - Unknown3,2,Loot Gen Sky Blue,BLUE_PALETTE_TEMPLATE,,4,Missile,"thrown missiles (javelins, spikes, spines, axes, clubs, daggers)",,
8 - COLD_DAMAGE_TYPE,5 - Lugian,5-MACE,64 - Attack if Attacked,8 - TwoHanded_CombatStyle,5 - Focus,1004 - MFK Mixed Equipment Chest,8 - Cold,8 - Yard_HookTypeEnum,100667861 - Jewelry,5 - Umbraen Shadow,,4 - Mace_WeaponType,8 - SlashRending_ImbuedEffectType,5 - Vital,5 - Focus,5 - Focus,5 - Max Mana,16 - Light Armor,8 - AMMO_ARROW_CRYSTAL,4096 - ???,5 - Satin,4 - Purple (Portal),20 - Peerless Lockpick,4 - COMBAT_USE_SHIELD,8 - UI_EFFECT_BOOST_MANA,16 - OffhandPunch_AttackType,8  Aphus Tuskers and Sycophants/Worshippers,4 - PK_PKStatus,8 - MAGIC_COMBAT_MODE,2 - TYPE_ARMOR,2 - Sticky_BondedStatus,8 - No NPK,2147483647 - FORCE_RadarEnum_32_BIT,4 - NUM_SKILL_ADVANCEMENT_CLASSES,4 - NUM_ATTACK_HEIGHTS,"16 - Wallbound Niffis, Head of Homunculus",16 - Weakest,4 - USEABLE_WIELDED,8 - UPPER_ARM_WEAR_LOC (Upper Arms (Underwear)),8 - Chest (Underwear),4,ID_CharacterTitle_Enchanter,Enchanter,4 - CarraidasBenediction,3,Loot Gen Purple,BLUEPURPLE_PALETTE_TEMPLATE,,5,Ammunition,"missiles that require a weapon (arrows, quarrels, darts, bundles)",,
16 - FIRE_DAMAGE_TYPE,6 - Tumerok,6-MELEE DEFENSE,,16 - Bow_CombatStyle,6 - Self,1005 - MFK Weapon Chest,16 - Fire,16 - Roof_HookTypeEnum,100667857 - Creature,6 - Gear Knight,,5 - Spear_WeaponType,16 - PierceRending_ImbuedEffectType,6 - Base Vital,6 - Self,6 - Self,6 - Mana,32 - Heavy Armor,16 - AMMO_BOLT_CRYSTAL,65536 - ???,6 - Silk,5 - Red (PK),30 - Carved Gemstone Lockpicks,5 - COMBAT_USE_TWO_HANDED,16 - UI_EFFECT_BOOST_STAMINA,25 - Unarmed_AttackType,12  Aurochs,8 - Unprotected_PKStatus,14 - COMBAT_COMBAT_MODE,4 - TYPE_CLOTHING,2147483647 - FORCE_BondedStatusEnum_32_BIT,16 - No Summon,,2147483647 - FORCE_SKILL_ADVANCEMENT_CLASS_32_BIT,2147483647 - FORCE_ATTACK_HEIGHT_32_BIT,32 - A Carved Mosswart Statue,32 - Strongest,8 - USEABLE_CONTAINED (food/gems/scrolls/etc),16 - LOWER_ARM_WEAR_LOC (Lower Arms (Underwear)),16 - Abdomen (Underwear),5,ID_CharacterTitle_Life_Mage,Life Mage,5 - NobleRelic,4,Loot Gen Ardent Brown,BROWN_PALETTE_TEMPLATE,,6,MeleeWeapon,melee weapons,,
32 - ACID_DAMAGE_TYPE,7 - Mite,7-MISSILE DEFENSE,,32 - Crossbow_CombatStyle,,1006 - MFK Shard Equipment Chest,32 - Acid,2147483647 - FORCE_HookTypeEnum_32_BIT,100667852 - Food,7 - Tumerok,,6 - Dagger_WeaponType,32 - BludgeonRending_ImbuedEffectType,7 - Character Level,,,,,32 - AMMO_ATLATL_CRYSTAL,65552 - ???,7 - Velvet,6 - Pink (PKL/Advocate),,2147483647 - FORCE_COMBAT_USE_32_BIT,32 - UI_EFFECT_FIRE,32 - DoubleSlash_AttackType,13  Golem Bosses,8 - Creature_PKStatus,15 - VALID_COMBAT_MODES,6 - TYPE_VESTEMENTS,,32 - No Recall/Tie,,,,,64 - Nearest,16 - USEABLE_VIEWED,32 - HAND_WEAR_LOC (Hands),32 - Upper Arms (Underwear),6,ID_CharacterTitle_Sorcerer,Sorcerer,6 - AncientRelic,5,Loot Gen Larlun Blue,DARKBLUE_PALETTE_TEMPLATE,,7,Portal,portals,,
64 - ELECTRIC_DAMAGE_TYPE,8 - Tusker,8-SLING,,64 - Sling_CombatStyle,,1007 - DI Base,64 - Lightning,,100667892 - Money,8 - Lugian,,7 - Staff_WeaponType,64 - AcidRending_ImbuedEffectType,8 - Trained Skill,,,,,64 - AMMO_ARROW_CHORIZITE,,8 - Wool,7 - Green,,,64 - UI_EFFECT_LIGHTNING,34 - DoubleSlash + Thrust_AttackType,14  Mu-miyahs,8 - Trap_PKStatus,2147483647 - FORCE_COMBAT_MODE_32_BIT,8 - TYPE_JEWELRY,,,,,,,,32 - USEABLE_REMOTE (doors/lifestone/NPC/Portal),64 - UPPER_LEG_WEAR_LOC (Upper Legs (Underwear)),64 - Lower Arms (Underwear),7,ID_CharacterTitle_Vagabond,Vagabond,7 - AlduressaRelic,6,Loot Gen Terracptta,DEEPBROWN_PALETTE_TEMPLATE,,8,Book,books,,
128 - HEALTH_DAMAGE_TYPE,9 - Phyntos Wasp,9-SPEAR,,128 - ThrownWeapon_CombatStyle,,1008 - DI Boss,,,100667860 - Misc,9 - Empyrean,,8 - Bow_WeaponType,128 - ColdRending_ImbuedEffectType,9 - Society,,,,,128 - AMMO_BOLT_CHORIZITE,,9 - Gem,8 - Yellow (NPC),,,128 - UI_EFFECT_FROST,36 - DoubleSlash + Slash_AttackType,15  VOD Gromnies,16 - RubberGlue_PKStatus,,16 - TYPE_CREATURE,,Table ABb - PORTAL_BITMASK_INT (Bitmasks),,,,,Table Vb  - TARGETING_TACTIC_INT (Bitmasks),48 - USEABLE_VIEWED_REMOTE (Chests/Hook),128 - LOWER_LEG_WEAR_LOC (Lower Legs (Underwear)),128 - ???,8,ID_CharacterTitle_Warrior,Warrior,8 - Ninja,7,Loot Gen Green,DEEPGREEN_PALETTE_TEMPLATE,,9,Coin,pyreal,,
256 - STAMINA_DAMAGE_TYPE,10 - Rat,10-STAFF,,256 - DualWield_CombatStyle,,1009 - Grand Casino Chest,,,100667858 - MissileWeapon,10 - Penumbraen Shadow,,9 - Crossbow_WeaponType,256 - ElectricRending_ImbuedEffectType,11 - Creature only (ex: Iasparailaun),,,,,256 - AMMO_ATLATL_CHORIZITE,,10 - Agate,9 - Cyan (Admin),,,256 - UI_EFFECT_ACID,64 - TripleSlash_AttackType,16  Hea Tuperea,16 - Vendor_PKStatus,,32 - TYPE_FOOD,,6 - No PK/PKL (4+2),,,,,"3 - Random, Focused",56 - USEABLE_CONTAINED_VIEWED_REMOTE (Chests),256 - FOOT_WEAR_LOC (Feet),256 - Upper Legs (Armor),9,ID_CharacterTitle_Bow_Hunter,Bow Hunter,9 - EmpyreanRings,8,Loot Gen Lime,GREEN_PALETTE_TEMPLATE,,10,Creature,"mobs, npcs, npcs disguised as objects",,
